iter	Passed	Remaining
403	6276	9258
404	6282	9230
405	6290	9203
406	6297	9175
407	6304	9147
408	6312	9121
409	6320	9095
410	6328	9069
411	6336	9043
412	6344	9016
413	6368	9014
414	6376	8988
415	6384	8963
416	6393	8938
417	6400	8912
418	6409	8887
419	6416	8861
420	6423	8834
421	6430	8807
422	6438	8782
423	6445	8756
424	6453	8730
425	6460	8704
426	6467	8679
427	6474	8652
428	6481	8626
429	6489	8602
430	6496	8576
431	6503	8550
432	6511	8526
433	6519	8502
434	6528	8478
435	6535	8454
436	6543	8430
437	6551	8405
438	6558	8381
439	6566	8357
440	6574	8333
441	6583	8310
442	6591	8287
443	6599	8264
444	6607	8240
445	6615	8217
446	6621	8192
447	6629	8168
448	6636	8144
449	6644	8121
450	6651	8096
451	6659	8073
452	6667	8051
453	6677	8031
454	6685	8007
455	6691	7983
456	6698	7959
457	6706	7936
458	6714	7914
459	6723	7892
460	6731	7870
461	6740	7848
462	6747	7826
463	6756	7804
464	6764	7782
465	6772	7760
466	6780	7738
467	6789	7717
468	6797	7696
469	6806	7675
470	6814	7653
471	6821	7631
472	6829	7609
473	6836	7586
474	6844	7564
475	6851	7542
476	6858	7519
477	6865	7497
478	6872	7474
479	6879	7452
480	6886	7430
481	6893	7408
482	6900	7386
483	6908	7365
484	6917	7345
485	6925	7324
486	6933	7303
487	6941	7282
488	6949	7261
489	6957	7241
490	6966	7221
491	6974	7201
492	6982	7180
493	6990	7160
494	7000	7141
495	7009	7122
496	7017	7102
497	7026	7082
498	7034	7063
499	7043	7043
500	7050	7022
501	7057	7001
502	7064	6980
503	7072	6959
504	7079	6939
505	7086	6918
506	7093	6897
507	7100	6877
508	7108	6857
509	7117	6838
510	7125	6818
511	7133	6799
512	7142	6780
513	7151	6761
514	7159	6742
515	7168	6723
516	7175	6704
517	7184	6684
518	7192	6665
519	7201	6647
520	7209	6628
521	7217	6609
522	7225	6589
523	7232	6570
524	7240	6550
525	7248	6531
526	7255	6512
527	7262	6492
528	7269	6472
529	7276	6452
530	7283	6433
531	7292	6415
532	7299	6396
533	7307	6377
534	7315	6358
535	7323	6340
536	7332	6321
537	7340	6303
538	7349	6285
539	7357	6267
540	7366	6249
541	7374	6231
542	7382	6213
543	7391	6195
544	7401	6178
545	7408	6160
546	7415	6141
547	7424	6123
548	7432	6105
549	7440	6087
550	7448	6069
551	7455	6050
552	7463	6032
553	7470	6014
554	7477	5995
555	7485	5977
556	7492	5959
557	7500	5941
558	7508	5923
559	7516	5905
560	7524	5887
561	7532	5870
562	7540	5853
563	7549	5836
564	7557	5818
565	7566	5802
566	7574	5784
567	7583	5767
568	7591	5750
569	7599	5733
570	7608	5716
571	7615	5698
572	7622	5680
573	7631	5663
574	7640	5647
575	7649	5630
576	7657	5613
577	7665	5596
578	7673	5579
579	7682	5562
580	7691	5546
581	7700	5530
582	7719	5521
583	7728	5504
584	7736	5488
585	7744	5471
586	7752	5454
587	7760	5437
588	7767	5420
589	7774	5402
590	7782	5386
591	7790	5369
592	7798	5352
593	7805	5335
594	7812	5318
595	7820	5300
596	7826	5283
597	7833	5266
598	7840	5249
599	7847	5231
600	7855	5215
601	7862	5198
602	7870	5181
603	7877	5164
604	7884	5147
605	7891	5130
606	7899	5114
607	7907	5098
608	7915	5081
609	7922	5065
610	7931	5049
611	7938	5033
612	7947	5017
613	7956	5001
614	7964	4985
615	7972	4969
616	7979	4953
617	7989	4938
618	7999	4923
619	8008	4908
620	8015	4891
621	8022	4875
622	8030	4859
623	8037	4843
624	8045	4827
625	8052	4811
626	8060	4795
627	8068	4779
628	8075	4762
629	8082	4746
630	8090	4730
631	8097	4714
632	8105	4699
633	8112	4683
634	8120	4667
635	8129	4652
636	8137	4637
637	8145	4621
638	8154	4606
639	8163	4591
640	8171	4576
641	8180	4561
642	8189	4546
643	8197	4531
644	8206	4516
645	8213	4500
646	8221	4485
647	8228	4469
648	8236	4454
649	8243	4438
650	8250	4423
651	8258	4407
652	8265	4392
653	8273	4376
654	8281	4361
655	8288	4346
656	8294	4330
657	8302	4315
658	8310	4300
659	8318	4285
660	8326	4270
661	8334	4255
662	8342	4240
663	8350	4225
664	8358	4210
665	8366	4195
666	8376	4181
667	8384	4167
668	8393	4152
669	8402	4138
670	8411	4124
671	8419	4109
672	8426	4094
673	8434	4079
674	8441	4064
675	8448	4049
676	8455	4034
677	8463	4019
678	8470	4004
679	8477	3989
680	8485	3974
681	8492	3959
682	8499	3944
683	8506	3930
684	8515	3915
685	8522	3901
686	8531	3886
687	8538	3872
688	8547	3858
689	8554	3843
690	8563	3829
691	8571	3815
692	8579	3800
693	8588	3786
694	8596	3772
695	8604	3758
696	8612	3744
697	8621	3730
698	8628	3715
699	8636	3701
700	8644	3687
701	8652	3672
702	8659	3658
703	8668	3644
704	8675	3630
705	8682	3615
706	8689	3601
707	8697	3587
708	8705	3573
709	8713	3559
710	8721	3545
711	8729	3531
712	8737	3517
713	8746	3503
714	8754	3489
715	8762	3475
716	8770	3461
717	8778	3447
718	8787	3434
719	8795	3420
720	8803	3406
721	8810	3392
722	8818	3378
723	8826	3364
724	8834	3350
725	8842	3337
726	8849	3323
727	8857	3309
728	8864	3295
729	8871	3281
730	8878	3267
731	8885	3253
732	8892	3239
733	8900	3225
734	8907	3211
735	8915	3198
736	8923	3184
737	8932	3171
738	8939	3157
739	8948	3144
740	8957	3130
741	8965	3117
742	8975	3104
743	8983	3091
744	8991	3077
745	8999	3064
746	9007	3050
747	9014	3037
748	9022	3023
749	9029	3009
750	9036	2996
751	9043	2982
752	9051	2969
753	9058	2955
754	9067	2942
755	9074	2928
756	9095	2919
757	9103	2906
758	9111	2893
759	9119	2879
760	9128	2866
761	9135	2853
762	9143	2840
763	9150	2826
764	9159	2813
765	9166	2800
766	9174	2787
767	9182	2773
768	9190	2760
769	9197	2747
770	9205	2734
771	9212	2720
772	9219	2707
773	9226	2694
774	9234	2680
775	9241	2667
776	9249	2654
777	9256	2641
778	9264	2628
779	9270	2614
780	9278	2601
781	9284	2588
782	9292	2575
783	9300	2562
784	9307	2549
785	9315	2536
786	9323	2523
787	9330	2510
788	9339	2497
789	9346	2484
790	9355	2471
791	9362	2458
792	9371	2446
793	9378	2433
794	9387	2420
795	9395	2407
796	9403	2395
797	9410	2382
798	9417	2369
799	9424	2356
800	9432	2343
801	9440	2330
802	9447	2317
803	9454	2304
804	9462	2292
805	9469	2279
806	9475	2266
807	9482	2253
808	9490	2240
809	9497	2227
810	9505	2215
811	9514	2202
812	9521	2190
813	9529	2177
814	9537	2164
815	9545	2152
816	9554	2140
817	9562	2127
818	9570	2115
819	9578	2102
820	9587	2090
821	9597	2078
822	9604	2065
823	9611	2053
824	9619	2040
825	9626	2027
826	9634	2015
827	9641	2002
828	9648	1990
829	9655	1977
830	9663	1965
831	9670	1952
832	9677	1940
833	9684	1927
834	9692	1915
835	9699	1902
836	9708	1890
837	9716	1878
838	9725	1866
839	9734	1854
840	9743	1842
841	9752	1830
842	9761	1818
843	9770	1805
844	9779	1793
845	9787	1781
846	9796	1769
847	9803	1757
848	9811	1745
849	9818	1732
850	9825	1720
851	9832	1708
852	9839	1695
853	9847	1683
854	9854	1671
855	9861	1658
856	9869	1646
857	9876	1634
