iter	Logloss
0	0.6565208936
1	0.6228988527
2	0.5947342119
3	0.5691391752
4	0.5545815295
5	0.5385203524
6	0.5257280405
7	0.514925739
8	0.5054375356
9	0.495635746
10	0.4876840346
11	0.4800647726
12	0.4734785425
13	0.4687452742
14	0.463627212
15	0.4589818118
16	0.4546126719
17	0.4508039419
18	0.4466632833
19	0.4434194089
20	0.4400408887
21	0.4366609668
22	0.4345501276
23	0.4322321934
24	0.4304839207
25	0.427913876
26	0.4258871404
27	0.4231046742
28	0.4209381664
29	0.4184103738
30	0.4165302587
31	0.4148980489
32	0.4133460178
33	0.4115345872
34	0.4102297004
35	0.4083544313
36	0.4063987832
37	0.4051060714
38	0.4036863232
39	0.4021154289
40	0.4006580343
41	0.3989550973
42	0.3971558418
43	0.395885878
44	0.3941490193
45	0.3925693542
46	0.3914052408
47	0.3901631913
48	0.3891107754
49	0.3877188214
50	0.3861569783
51	0.3843758651
52	0.3828609997
53	0.3819423886
54	0.3808640608
55	0.3796810441
56	0.3782201251
57	0.3773783686
58	0.3762174191
59	0.3747867374
60	0.3736742075
61	0.3722584642
62	0.3707699913
63	0.3697957517
64	0.3688388134
65	0.367957408
66	0.3667282145
67	0.3660634759
68	0.365147508
69	0.364325656
70	0.3633999562
71	0.362552793
72	0.3613013721
73	0.359944261
74	0.3592628219
75	0.3580263794
76	0.3574280025
77	0.356643877
78	0.3558299948
79	0.3552560881
80	0.354417856
81	0.3535321253
82	0.3525850391
83	0.3511048965
84	0.3496714114
85	0.3485048149
86	0.3473165517
87	0.346010103
88	0.3445191871
89	0.3432950798
90	0.3425971805
91	0.3408917605
92	0.3394438175
93	0.3380743713
94	0.3368193859
95	0.335558273
96	0.3343503056
97	0.3335261508
98	0.3321771897
99	0.3308020965
100	0.3297724887
101	0.3284407488
102	0.3272123963
103	0.3262377561
104	0.3252661197
105	0.3242765812
106	0.3228272365
107	0.3211969291
108	0.3197979464
109	0.3188595108
110	0.317548917
111	0.3163262515
112	0.3154082811
113	0.3144527646
114	0.3133669475
115	0.3120099966
116	0.3106454364
117	0.3093082298
118	0.308130059
119	0.3068957191
120	0.305433839
121	0.303839656
122	0.3026844535
123	0.3015891448
124	0.3003823188
125	0.2993295024
126	0.2980128611
127	0.2971159968
128	0.2959643186
129	0.2949060155
130	0.2935116585
131	0.2924160294
132	0.290996962
133	0.2898871955
134	0.2888848412
135	0.2875662576
136	0.2864289772
137	0.2848734418
138	0.2837141342
139	0.2823863593
140	0.2814685491
141	0.2802702336
142	0.2791869396
143	0.2780775336
144	0.2772459496
145	0.2761359828
146	0.2753274472
147	0.2741662974
148	0.2730173426
149	0.2718964024
150	0.2706994084
151	0.2696060621
152	0.2688424418
153	0.2676233407
154	0.266374543
155	0.2651971131
156	0.2644038563
157	0.2635767579
158	0.262524382
159	0.2614133139
160	0.2606310507
161	0.2596683052
162	0.2584499449
163	0.2574901831
164	0.2563206029
165	0.2553528713
166	0.2541909406
167	0.253559483
168	0.2526440958
169	0.2518147546
170	0.2506781951
171	0.249565505
172	0.2488388502
173	0.2480497786
174	0.2473552834
175	0.2461179198
176	0.2448083672
177	0.2436953767
178	0.2430968798
179	0.2418699089
180	0.2410581894
181	0.2399742947
182	0.239034918
183	0.2382183325
184	0.2372427713
185	0.2362842109
186	0.2352738668
187	0.2345829561
188	0.2335613982
189	0.2329955814
190	0.232119783
191	0.2313484132
192	0.2307043201
193	0.2303276162
194	0.2293892608
195	0.2286156281
196	0.2279347898
197	0.2270970983
198	0.2262134502
199	0.2254637871
200	0.2245256319
201	0.2237231237
202	0.2226218276
203	0.2218869027
204	0.2210602848
205	0.2201966614
206	0.2194734508
207	0.2187074676
208	0.2178464674
209	0.2169931166
210	0.2159068791
211	0.2152147669
212	0.2142364222
