iter	Passed	Remaining
415	2715	3811
416	2720	3803
417	2726	3796
418	2732	3788
419	2738	3781
420	2743	3773
421	2749	3766
422	2755	3759
423	2761	3751
424	2767	3744
425	2774	3738
426	2780	3730
427	2786	3724
428	2793	3717
429	2799	3710
430	2805	3703
431	2811	3696
432	2818	3690
433	2824	3683
434	2829	3675
435	2836	3669
436	2842	3661
437	2847	3653
438	2853	3646
439	2858	3638
440	2864	3631
441	2870	3623
442	2876	3616
443	2882	3609
444	2887	3601
445	2893	3594
446	2899	3587
447	2907	3582
448	2913	3575
449	2919	3568
450	2926	3562
451	2932	3555
452	2938	3548
453	2944	3541
454	2950	3534
455	2957	3528
456	2962	3520
457	2968	3512
458	2975	3507
459	2981	3499
460	2986	3492
461	2992	3484
462	2998	3477
463	3005	3471
464	3011	3464
465	3017	3457
466	3022	3449
467	3027	3441
468	3034	3435
469	3040	3428
470	3045	3420
471	3052	3414
472	3058	3407
473	3064	3400
474	3069	3393
475	3075	3386
476	3081	3379
477	3087	3372
478	3093	3364
479	3099	3357
480	3105	3350
481	3111	3343
482	3116	3336
483	3122	3329
484	3128	3322
485	3134	3314
486	3139	3307
487	3146	3300
488	3151	3293
489	3157	3286
490	3163	3279
491	3169	3272
492	3176	3266
493	3182	3259
494	3188	3252
495	3193	3245
496	3199	3238
497	3205	3231
498	3211	3224
499	3217	3217
500	3222	3210
501	3228	3203
502	3235	3196
503	3240	3189
504	3246	3182
505	3252	3175
506	3258	3168
507	3264	3161
508	3270	3154
509	3275	3147
510	3283	3141
511	3289	3135
512	3296	3129
513	3302	3122
514	3308	3115
515	3314	3109
516	3320	3102
517	3326	3095
518	3332	3088
519	3338	3081
520	3344	3074
521	3350	3068
522	3356	3061
523	3362	3054
524	3368	3047
525	3374	3041
526	3380	3033
527	3386	3027
528	3392	3020
529	3399	3014
530	3406	3008
531	3412	3002
532	3418	2995
533	3424	2988
534	3430	2981
535	3436	2974
536	3442	2967
537	3448	2961
538	3454	2954
539	3459	2947
540	3465	2940
541	3471	2933
542	3477	2926
543	3484	2920
544	3490	2913
545	3496	2907
546	3502	2900
547	3508	2893
548	3514	2887
549	3521	2880
550	3527	2874
551	3532	2867
552	3538	2860
553	3544	2853
554	3549	2846
555	3555	2839
556	3561	2832
557	3567	2825
558	3573	2819
559	3579	2812
560	3585	2805
561	3591	2799
562	3597	2792
563	3603	2785
564	3609	2778
565	3615	2772
566	3621	2765
567	3627	2758
568	3633	2752
569	3638	2745
570	3644	2738
571	3650	2731
572	3655	2724
573	3661	2717
574	3668	2711
575	3674	2705
576	3682	2699
577	3688	2692
578	3694	2686
579	3700	2679
580	3706	2672
581	3713	2666
582	3719	2660
583	3725	2653
584	3730	2646
585	3736	2639
586	3742	2632
587	3748	2626
588	3754	2619
589	3760	2613
590	3766	2606
591	3772	2599
592	3778	2592
593	3783	2586
594	3789	2579
595	3795	2572
596	3802	2566
597	3808	2560
598	3814	2553
599	3821	2547
600	3826	2540
601	3833	2534
602	3838	2527
603	3844	2520
604	3851	2514
605	3856	2507
606	3862	2500
607	3868	2494
608	3874	2487
609	3881	2481
610	3887	2475
611	3895	2469
612	3901	2462
613	3906	2455
614	3912	2449
615	3918	2442
616	3924	2436
617	3930	2429
618	3935	2422
619	3941	2415
620	3947	2409
621	3953	2402
622	3959	2396
623	3965	2389
624	3971	2383
625	3977	2376
626	3983	2369
627	3989	2363
628	3995	2356
629	4001	2349
630	4007	2343
631	4013	2336
632	4019	2330
633	4025	2324
634	4031	2317
635	4036	2310
636	4042	2303
637	4049	2297
638	4055	2290
639	4060	2284
640	4067	2277
641	4072	2271
642	4079	2264
643	4084	2257
644	4089	2251
645	4096	2244
646	4102	2238
647	4109	2232
648	4115	2225
649	4121	2219
650	4127	2212
651	4133	2206
652	4139	2199
653	4145	2193
654	4151	2186
655	4157	2179
656	4163	2173
657	4169	2166
658	4175	2160
659	4181	2154
660	4187	2147
661	4193	2140
662	4198	2134
663	4205	2127
664	4211	2121
665	4217	2115
666	4223	2108
667	4228	2101
668	4234	2095
669	4240	2088
670	4246	2082
671	4253	2076
672	4260	2070
673	4267	2064
674	4273	2057
675	4279	2051
676	4285	2044
677	4291	2038
678	4297	2031
679	4303	2025
680	4309	2018
681	4314	2011
682	4320	2005
683	4326	1998
684	4331	1992
685	4337	1985
686	4343	1978
687	4349	1972
688	4354	1965
689	4360	1958
690	4365	1952
691	4371	1945
692	4378	1939
693	4385	1933
694	4391	1927
695	4398	1920
696	4404	1914
697	4410	1908
698	4416	1901
699	4422	1895
700	4428	1888
701	4435	1882
702	4440	1876
703	4446	1869
704	4452	1862
705	4457	1856
706	4464	1850
707	4470	1843
708	4475	1836
709	4481	1830
710	4487	1824
711	4493	1817
712	4499	1810
713	4504	1804
714	4511	1798
715	4517	1791
716	4523	1785
717	4529	1779
718	4535	1772
719	4541	1766
720	4547	1759
721	4553	1753
722	4559	1747
723	4565	1740
724	4571	1734
725	4577	1727
726	4583	1721
727	4589	1714
728	4594	1707
729	4599	1701
730	4606	1695
731	4612	1688
732	4618	1682
733	4623	1675
734	4629	1669
735	4635	1662
736	4641	1656
737	4647	1650
738	4654	1643
739	4660	1637
740	4666	1631
741	4671	1624
742	4677	1617
743	4683	1611
744	4689	1605
745	4695	1598
746	4701	1592
747	4707	1585
748	4713	1579
749	4719	1573
750	4725	1566
751	4732	1560
752	4738	1554
753	4744	1547
754	4749	1541
755	4755	1534
756	4762	1528
757	4768	1522
758	4774	1516
759	4780	1509
760	4786	1503
761	4792	1496
762	4798	1490
763	4804	1484
764	4809	1477
765	4815	1471
766	4821	1464
767	4828	1458
768	4834	1452
769	4839	1445
770	4845	1439
771	4852	1433
772	4857	1426
773	4863	1420
774	4869	1413
775	4877	1407
776	4884	1401
777	4890	1395
778	4896	1388
779	4901	1382
780	4907	1376
781	4914	1369
782	4927	1365
783	4933	1359
784	4939	1352
785	4945	1346
786	4951	1340
787	4957	1333
788	4963	1327
